Resistance[Ohm],Time_r [s],Position [mm],Time_p[s],Force [N],Time_f[s],Stress[kPa],Strain [mm/mm]
7324121.1,0.047991276,0,0.004029751,-0.098686382,0.354815483,-2467.159549,1
6159364.1,0.402302504,0,0.358843803,-0.332246768,0.446760893,-8306.169198,1
6062177.3,0.492735624,-0.344,0.448759317,-0.406162117,0.537712336,-10154.05293,1.0086
6079638.7,0.585685492,-0.436,0.542713642,-0.160484461,0.628657341,-4012.111518,1.0109
6194161.7,0.674647093,-0.528,0.631686687,-0.290745117,0.76651001,-7268.627924,1.0132
6293980.3,0.816012383,-0.62,0.772537708,-0.265601781,1.041393518,-6640.044525,1.0155
6121245.7,1.088375092,-0.756,1.044390917,-0.122012127,1.132359266,-3050.303184,1.0189
6147270.6,1.181868792,-1.032,1.139387846,0.02400098,1.225383997,600.0245082,1.0258
5968666.8,1.270433903,-1.124,1.227348089,-0.088992566,1.314519405,-2224.814142,1.0281
6054971.4,1.363468409,-1.216,1.320485592,-0.316797248,1.45343256,-7919.931205,1.0304
6247193.3,1.499400854,-1.304,1.455430508,0.007036802,1.727340221,175.920046,1.0326
6348661.9,1.774304152,-1.444,1.731306314,0.362981618,1.818305731,9074.540458,1.0361
6323702.2,1.865314484,-1.716,1.821329832,-0.082025135,1.909299135,-2050.62838,1.0429
6270043.4,1.9562428,-1.808,1.91326952,0.41326829,2.000215769,10331.70726,1.0452
6487956.3,2.044711828,-1.9,2.002215385,0.068229017,2.12719059,1705.725427,1.0475
6822648.4,2.174169302,-1.992,2.131188393,0.496271592,2.399501562,12406.7898,1.0498
6842031.3,2.445463419,-2.116,2.402503729,0.162137862,2.489421606,4053.446557,1.0529
6863544.7,2.533405781,-2.392,2.490421295,0.399030498,2.577388048,9975.76244,1.0598
6769177.6,2.624360085,-2.48,2.581388474,0.044297408,2.668329716,1107.435204,1.062
6758483.6,2.713819742,-2.568,2.670329094,0.202427786,2.79628849,5060.694655,1.0642
6713493.4,2.84422946,-2.66,2.801254749,0.313906673,3.056376934,7847.666835,1.0665
6808549.2,3.100851297,-2.788,3.058376312,0.261802411,3.144325495,6545.060273,1.0697
6788581.4,3.191807985,-3.048,3.148349524,0.204548309,3.235266209,5113.707713,1.0762
6685233.1,3.280506134,-3.136,3.237265348,0.363890414,3.324777842,9097.26034,1.0784
6602165.8,3.371182919,-3.228,3.327752829,0.604721162,3.454477549,15118.02904,1.0807
6497835.8,3.499433756,-3.316,3.456474781,0.796779897,3.714290857,19919.49742,1.0829
6582845.5,3.762259722,-3.448,3.71928525,0.510206453,3.806265354,12755.16133,1.0862
6528519,3.851223946,-3.708,3.808233261,0.660460605,3.895183802,16511.51513,1.0927
6630050.2,3.942159176,-3.8,3.899181366,0.381460456,3.986136198,9536.51139,1.095
6613131.9,4.031123877,-3.888,3.988137007,0.395698248,4.110093355,9892.456206,1.0972
6713765,4.156610966,-3.98,4.114088058,0.60441823,4.370066643,15110.45575,1.0995
6676836.6,4.416039705,-4.104,4.372064829,0.679242374,4.460014343,16981.05936,1.1026
6790899.8,4.506963015,-4.364,4.463987589,0.516870952,4.550938606,12921.77379,1.1091
6729116.7,4.596424341,-4.452,4.552937984,0.585030597,4.64090991,14625.76494,1.1113
6835493.7,4.687870264,-4.544,4.644882679,0.309362697,4.768812895,7734.067426,1.1136
6843681.4,4.81531024,-4.636,4.77183485,0.709232619,5.040648699,17730.81546,1.1159
6723707.1,5.087121487,-4.764,5.043646812,0.960060115,5.131627321,24001.50287,1.1191
