R,tR,P,tP,F,tF
4651227.5,0.048336983,0,0.003998995,-0.15866687,0.331566572
5222942.6,0.37700963,0,0.333534002,-0.099898109,0.420485497
5346697.2,0.470470905,-0.472,0.426481009,-0.304377046,0.515459776
5495850.8,0.561402559,-0.604,0.51742816,-0.089598429,0.60637641
5477115.3,0.657347202,-0.748,0.613372564,-0.212588723,0.746297359
5436615.2,0.797767639,-1.092,0.75429225,0.028847888,1.052150726
5879250.5,1.104109049,-1.552,1.060122967,0.014004232,1.149065971
6058355.1,1.201052904,-1.7,1.158089638,-0.009624445,1.245013952
6165066.1,1.296481848,-1.844,1.253009796,0.06186745,1.340954304
6138268.4,1.392938852,-1.988,1.348947287,0.07216713,1.4808743
6317645,1.532410622,-2.196,1.488867998,0.136994526,1.784412861
6260184.9,1.836608171,-2.652,1.793407917,0.29270145,1.880807638
6377861.6,1.932671785,-2.796,1.889778376,0.569278146,1.976534843
6516864.1,2.028105259,-2.94,1.984529495,0.403271542,2.072648287
6724062.1,2.123507977,-3.084,2.080554485,0.382369251,2.214529753
6611043.3,2.268252134,-3.3,2.223975897,0.627138112,2.520001888
6684898.9,2.571999788,-3.756,2.528033972,0.552313967,2.616973877
7085488.5,2.670070887,-3.904,2.625974894,0.612294456,2.715166092
7414582.3,2.767561913,-4.052,2.724137783,0.567763487,2.811959505
7471582.9,2.864296675,-4.196,2.820952415,0.676515989,2.947688341
7066272.7,2.999912977,-4.4,2.956893682,0.996714858,3.223968983
7649037.5,3.276520014,-4.816,3.231970787,0.795265238,3.322046757
7368234.5,3.374605417,-4.96,3.330131769,0.694994826,3.419079065
7498652.2,3.473259687,-5.108,3.429049015,0.615323773,3.518379211
7565281.5,3.569734573,-5.256,3.526403189,0.79223592,3.652482986
7621905.5,3.703870058,-5.46,3.6605196,1.022161125,3.939980268
7889362.5,3.992336035,-5.888,3.948104382,0.930675734,4.03757
7995656,4.089924097,-6.036,4.045559406,0.959151319,4.134289026
8170374.4,4.187589407,-6.184,4.143324137,0.871604041,4.232861996
7972701.5,4.285491228,-6.328,4.240889788,0.998229516,4.371729136
8180338.1,4.423906088,-6.536,4.379716873,1.204828976,4.644241095
8553628.4,4.696505308,-6.948,4.652706146,1.162115598,4.741328239
8475323.1,4.793952465,-7.092,4.749833584,1.20210259,4.839072466
8644465.5,4.8907516,-7.24,4.847358704,1.206343635,4.935183287
8594336.7,4.986843824,-7.384,4.944060087,1.167871301,5.073978662
8631703.7,5.125477552,-7.592,5.082633734,1.225428335,5.362494946
9462083.3,5.413734198,-8.024,5.370490313,1.429604341,5.458017588
9391213.6,5.509866476,-8.168,5.465950727,1.313278545,5.553782225
9306517.2,5.60648036,-8.312,5.562801123,1.294799708,5.651192188
9466699.2,5.703235865,-8.46,5.659227848,1.473529446,5.793512344
9692653.7,5.844591379,-8.672,5.8015275,1.439298157,6.065866232
9037452.5,6.118333578,-9.08,6.073861361,1.570467608,6.163806915
10052889,6.215708971,-9.228,6.171827555,1.459897517,6.260559559
10140928,6.312556028,-9.376,6.268550158,1.604395965,6.357560635
10347583,6.408995867,-9.52,6.36546278,1.324789952,6.49448204
10898872,6.547666788,-9.728,6.504483938,1.735868349,6.786963463
99000000,6.839023829,-10.164,6.795980453,1.518060414,6.883066654
99000000,6.935467958,-10.308,6.892031193,1.691943244,6.979882002
99000000,7.032501936,-10.456,6.988038063,1.610757532,7.076965809
99000000,7.130488873,-10.6,7.085925341,1.714966057,7.214288473
99000000,7.266588926,-10.808,7.223169327,1.868855391,7.489005089
99000000,7.541726828,-11.22,7.497009277,1.596216808,7.587445021
99000000,7.640480757,-11.368,7.596004725,1.742532847,7.685948849
99000000,7.738800287,-11.516,7.693974733,1.758891162,7.78362608
99000000,7.8368361,-11.664,7.792374372,1.850982417,7.918777704
99000000,7.970819712,-11.864,7.927315712,1.962461304,8.192512751
99000000,8.24643302,-12.276,8.201908112,1.986089981,8.291983366
99000000,8.344323874,-12.424,8.299952507,1.873399367,8.38966608
99000000,8.443244696,-12.572,8.398128271,1.936409173,8.489329576
99000000,8.541705608,-12.72,8.497408628,2.105142163,8.635111094
99000000,8.687536001,-12.94,8.644129038,2.11332132,8.909852028
99000000,8.961935759,-13.352,8.917825937,2.167546105,9.006045818
99000000,9.059173822,-13.496,9.015090466,1.986998777,9.104254007
99000000,9.157677412,-13.644,9.113210678,2.18572201,9.203162909
99000000,9.256451845,-13.792,9.211741686,2.044252879,9.338740587
99000000,9.390341043,-13.996,9.346828222,2.132103089,9.613225937
99000000,9.666642427,-14.408,9.622260332,2.236614546,9.711024284
99000000,9.764643431,-14.556,9.720017433,2.159064016,9.810237169
99000000,9.863029957,-14.704,9.818786144,2.231464706,9.908269882
99000000,9.962256193,-14.852,9.918270111,2.333552709,10.04319024
99000000,10.10115767,-15,10.05618191,2.225406071,10.33204913
99000000,10.38449717,-15,10.34102559,2.267513585,10.42897153
99000000,10.48245215,-15,10.43799305,2.2838719,10.52791166
99000000,10.58387995,-15,10.53890562,2.245096635,10.62985277
99000000,10.68282151,-15,10.63784742,2.250246475,10.77773142
99000000,10.83119941,-15,10.78772378,2.177239921,11.0645709
99000000,11.11703944,-15,11.07256675,2.251761134,11.16251612
99000000,11.21598029,-15,11.1715095,2.316891462,11.261482
99000000,11.31493545,-15,11.27147603,2.270845835,11.35939574
99000000,11.41286397,-15,11.36938977,2.235705751,11.49532175
99000000,11.54730558,-15,11.50334334,2.194809963,11.76816773
99000000,11.82012963,-15,11.77615404,2.282357241,11.86510372
99000000,11.91757703,-15,11.87410522,2.260849087,11.96204853
99000000,12.01551795,-15,11.97104454,2.209956551,12.06099033
99000000,12.1144743,-15,12.07001567,2.211168278,12.19891763
99000000,12.25139546,-15,12.20793653,2.255396315,12.47283959
99000000,12.52529836,-15,12.48181081,2.285992423,12.56978416
99000000,12.62272668,-15,12.57874751,2.273269289,12.66770172
99000000,12.72167277,-15,12.67669773,2.204806711,12.76664567
99000000,12.81962848,-15,12.77564049,2.250549407,12.90156865
99000000,12.95506263,-15,12.91058779,2.231161774,13.17373466
99000000,13.22592664,-15,13.18201327,2.262363745,13.27074981
99000000,13.32354951,-15,13.28009319,2.227829525,13.36802888
99000000,13.42057681,-15,13.37699723,2.103324572,13.46513247
99000000,13.51731229,-15,13.47373843,2.182389761,13.60432053
99000000,13.65801072,-15,13.61275792,2.192992373,13.87882614
99000000,13.93093562,-15,13.88690376,2.292656921,13.97596693
99000000,14.0284369,-15,13.98496342,2.170878354,14.07290983
99000000,14.12560964,-15,14.08190465,2.185419079,14.1702857
99000000,14.22347355,-15,14.17927718,2.24085559,14.30904794
99000000,14.3618567,-15,14.31712365,2.305682987,14.58091712
99000000,14.63338041,-15,14.58992481,2.144220359,14.67787623
99000000,14.72983909,-15,14.68587017,2.180875102,14.77380776
99000000,14.82653308,-15,14.78283286,2.183601488,14.87112641
99000000,14.92387509,-15,14.88021207,2.292656921,15.01051188
99000000,15.06424713,-15,15.01950693,2.144220359,15.287359
99000000,15.34065986,-15,15.29635286,2.237220409,15.38593173
99000000,15.43966103,-15,15.39503837,2.025774042,15.4852922
99000000,15.53791761,-15,15.49428487,2.253275793,15.58254862
99000000,15.63434863,-15,15.59065318,2.182692693,15.71452522
99000000,15.76771569,-15,15.72282839,2.16148747,15.98711014
99000000,16.03953409,-15,15.99553823,2.269937039,16.08352995
99000000,16.13651896,-15,16.09258366,2.122409273,16.18142462
99000000,16.23364472,-15,16.18987417,2.255093383,16.27741504
99000000,16.33036208,-15,16.2864399,2.142705701,16.41688919
99000000,16.47046781,-15,16.42591095,2.147249677,16.69100809
99000000,16.74404025,-15,16.70000243,2.250852339,16.78807831
99000000,16.84149933,-15,16.7980237,2.122712205,16.8859694
99000000,16.93950605,-15,16.89596367,2.136647066,16.98398161
99000000,17.0360105,-15,16.99234533,2.217226913,17.12162495
99000000,17.17569494,-15,17.13062525,2.163910924,17.39264941
99000000,17.44562268,-15,17.40164495,2.142099837,17.48960018
99000000,17.54322624,-15,17.49959016,2.248428884,17.58785939
99000000,17.6395359,-15,17.59582376,2.148158472,17.68422341
99000000,17.73676133,-15,17.69321299,2.229344184,17.82327843
99000000,17.87748456,-15,17.83227897,2.087572121,18.09809303
99000000,18.15040636,-15,18.10640454,2.055461354,18.1954124
99000000,18.24789119,-15,18.2044034,2.19935394,18.29234791
99000000,18.34505415,-15,18.3013413,2.213894664,18.388767
99000000,18.44180059,-15,18.3977623,2.222679685,18.52640271
99000000,18.58036709,-15,18.53539276,2.21843864,18.83305383
99000000,18.88569856,-15,18.84108758,2.09272196,18.93134928
99000000,18.98426199,-15,18.93974447,2.116047706,19.02980971
99000000,19.0842526,-15,19.03977847,2.227526593,19.1297226
99000000,19.18316722,-15,19.13872218,2.171484218,19.27716041
99000000,19.32938337,-15,19.2861321,2.141191042,19.5499897
99000000,19.6029439,-15,19.55895638,2.167849037,19.64793062
99000000,19.70061135,-15,19.65692687,2.197839281,19.74532175
99000000,19.79806495,-15,19.75331545,2.116350638,19.84377909
99000000,19.89692855,-15,19.85200524,2.196627554,19.9804821
99000000,20.03306794,-15,19.98975682,2.205109643,20.25427556
99000000,20.30792332,-15,20.26329541,2.155428835,20.35255122
99000000,20.40636516,-15,20.36157537,2.147855541,20.45216441
99000000,20.50480795,-15,20.46015954,2.21662105,20.55045319
99000000,20.60400677,-15,20.5592742,2.181783898,20.69875169
99000000,20.75223756,-15,20.70774794,2.147855541,20.98997474
99000000,21.0417192,-15,20.99807858,2.125135659,21.08635998
99000000,21.1394999,-15,21.09535551,2.232070569,21.18464398
99000000,21.23626542,-15,21.19256854,2.149976063,21.28096151
99000000,21.33420181,-15,21.28995967,2.164516787,21.41739178
99000000,21.47033811,-15,21.42639375,2.242067318,21.69097161
99000000,21.74351048,-15,21.69897127,2.248731816,21.78902626
99000000,21.84091449,-15,21.79704499,2.14603795,21.88478398
99000000,21.93745017,-15,21.89377713,2.067275693,21.98112321
99000000,22.03410554,-15,21.99013376,2.079695895,22.12132859
99000000,22.17330861,-15,22.12932277,2.152096585,22.39245939
99000000,22.44418311,-15,22.40071511,2.292656921,22.48861742
99000000,22.54093313,-15,22.49760985,2.039103039,22.5852952
99000000,22.63864827,-15,22.59429145,2.116956501,22.68400383
99000000,22.73638749,-15,22.69194627,2.177845785,22.82385612
99000000,22.87611508,-15,22.83187652,2.149673131,23.09775949
99000000,23.15095973,-15,23.10673022,2.139373451,23.19618773
99000000,23.25021458,-15,23.20617604,2.168151968,23.29424262
99000000,23.34657502,-15,23.30280066,2.123318068,23.3913486
99000000,23.4429605,-15,23.39959788,2.099083527,23.52631402
99000000,23.57892203,-15,23.53532124,2.126347386,23.80127192
99000000,23.8543303,-15,23.81024194,2.164819719,23.89941883
99000000,23.95132065,-15,23.90831876,2.172090081,23.99529195
99000000,24.04781747,-15,24.00433898,2.057278945,24.0923233
99000000,24.14465261,-15,24.10100532,2.156640562,24.23163867
99000000,24.28361583,-15,24.2402637,2.070002079,24.50372577
